submission_id,task_id,error_type,tpr_3_test,is_fp_3_test,tpr_9_test,is_fp_9_test,tpr_13_test,is_fp_13_test
SV001,1,SE,0.0,False,0.0,False,0.0,False
SV002,1,WA,33.33,False,44.44,False,30.77,False
SV003,2,SE,0.0,False,0.0,False,0.0,False
SV004,2,WA,33.33,False,22.22,False,15.38,False
SV005,3,SE,0.0,False,0.0,False,0.0,False
SV006,3,WA,100.0,False,100.0,False,100.0,False
SV007,4,SE,0.0,False,0.0,False,0.0,False
SV008,4,WA,33.33,False,22.22,False,15.38,False
SV009,5,SE,0.0,False,0.0,False,0.0,False
SV010,5,WA,0.0,False,0.0,False,0.0,False
SV011,6,SE,0.0,False,0.0,False,0.0,False
SV012,6,WA,0.0,False,11.11,False,15.38,False
SV013,7,SE,0.0,False,0.0,False,0.0,False
SV014,7,WA,0.0,False,0.0,False,0.0,False
SV015,8,SE,0.0,False,0.0,False,0.0,False
SV016,8,WA,0.0,False,0.0,False,0.0,False
SV017,9,SE,0.0,False,0.0,False,0.0,False
SV018,9,WA,0.0,False,0.0,False,0.0,False
SV019,10,SE,0.0,False,0.0,False,0.0,False
SV020,10,WA,0.0,False,33.33,False,30.77,False
SV021,11,RE,0.0,False,0.0,False,0.0,False
SV022,11,TLE,0.0,False,0.0,False,0.0,False
SV023,12,RE,0.0,False,0.0,False,0.0,False
SV024,12,TLE,0.0,False,0.0,False,0.0,False
SV025,13,RE,0.0,False,0.0,False,0.0,False
SV026,13,TLE,0.0,False,0.0,False,0.0,False
SV027,14,RE,0.0,False,0.0,False,0.0,False
SV028,14,TLE,0.0,False,0.0,False,0.0,False
SV029,15,RE,0.0,False,0.0,False,0.0,False
SV030,15,TLE,0.0,False,0.0,False,0.0,False
SV031,16,RE,0.0,False,22.22,False,23.08,False
SV032,16,TLE,0.0,False,0.0,False,0.0,False
SV033,17,RE,0.0,False,0.0,False,0.0,False
SV034,17,TLE,0.0,False,0.0,False,0.0,False
SV035,18,RE,0.0,False,0.0,False,0.0,False
SV036,18,TLE,0.0,False,0.0,False,0.0,False
SV037,19,RE,33.33,False,44.44,False,46.15,False
SV038,19,TLE,0.0,False,0.0,False,0.0,False
SV039,20,RE,0.0,False,0.0,False,7.69,False
SV040,20,TLE,0.0,False,0.0,False,0.0,False
SV041,21,HC,100.0,True,33.33,True,23.08,False
SV042,21,SE,0.0,False,0.0,False,0.0,False
SV043,22,HC,0.0,False,0.0,False,0.0,False
SV044,22,SE,0.0,False,0.0,False,0.0,False
SV045,23,HC,100.0,True,33.33,True,23.08,False
SV046,23,SE,0.0,False,0.0,False,0.0,False
SV047,24,HC,0.0,False,0.0,False,0.0,False
SV048,24,SE,0.0,False,0.0,False,0.0,False
SV049,25,HC,100.0,True,33.33,True,23.08,False
SV050,25,SE,0.0,False,0.0,False,0.0,False
SV051,26,HC,100.0,True,33.33,False,23.08,False
SV052,26,SE,0.0,False,0.0,False,0.0,False
SV053,27,HC,100.0,True,33.33,False,23.08,False
SV054,27,SE,0.0,False,0.0,False,0.0,False
SV055,28,HC,0.0,False,0.0,False,0.0,False
SV056,28,SE,0.0,False,0.0,False,0.0,False
SV057,29,HC,0.0,False,0.0,False,0.0,False
SV058,29,SE,0.0,False,0.0,False,0.0,False
SV059,30,HC,100.0,True,33.33,False,23.08,False
SV060,30,SE,0.0,False,0.0,False,0.0,False
SV061,31,WA,0.0,False,11.11,False,7.69,False
SV062,31,RE,0.0,False,0.0,False,7.69,False
SV063,32,WA,0.0,False,0.0,False,0.0,False
SV064,32,RE,33.33,False,11.11,False,7.69,False
SV065,33,WA,0.0,False,11.11,False,7.69,False
SV066,33,RE,0.0,False,0.0,False,0.0,False
SV067,34,WA,0.0,False,0.0,False,0.0,False
SV068,34,RE,0.0,False,0.0,False,0.0,False
SV069,35,WA,0.0,False,0.0,False,0.0,False
SV070,35,RE,0.0,False,0.0,False,0.0,False
SV071,36,WA,0.0,False,0.0,False,0.0,False
SV072,36,RE,0.0,False,0.0,False,0.0,False
SV073,37,WA,0.0,False,11.11,False,15.38,False
SV074,37,RE,0.0,False,0.0,False,0.0,False
SV075,38,WA,33.33,False,44.44,False,38.46,False
SV076,38,RE,0.0,False,0.0,False,0.0,False
SV077,39,WA,33.33,False,33.33,False,38.46,False
SV078,39,RE,0.0,False,0.0,False,0.0,False
SV079,40,WA,0.0,False,22.22,False,23.08,False
SV080,40,RE,66.67,False,66.67,False,69.23,False
SV081,41,TLE,0.0,False,0.0,False,0.0,False
SV082,41,HC,100.0,True,44.44,False,30.77,False
SV083,42,TLE,0.0,False,0.0,False,0.0,False
SV084,42,HC,0.0,False,0.0,False,0.0,False
SV085,43,TLE,0.0,False,0.0,False,0.0,False
SV086,43,HC,100.0,True,33.33,False,23.08,False
SV087,44,TLE,0.0,False,0.0,False,0.0,False
SV088,44,HC,100.0,True,55.56,False,38.46,False
SV089,45,TLE,0.0,False,0.0,False,0.0,False
SV090,45,HC,0.0,False,0.0,False,0.0,False
SV091,46,TLE,0.0,False,0.0,False,0.0,False
SV092,46,HC,0.0,False,0.0,False,0.0,False
SV093,47,TLE,0.0,False,0.0,False,0.0,False
SV094,47,HC,0.0,False,0.0,False,0.0,False
SV095,48,TLE,0.0,False,0.0,False,0.0,False
SV096,48,HC,0.0,False,0.0,False,0.0,False
SV097,49,TLE,0.0,False,0.0,False,0.0,False
SV098,49,HC,0.0,False,0.0,False,0.0,False
SV099,50,TLE,0.0,False,0.0,False,0.0,False
SV100,50,HC,100.0,True,44.44,False,38.46,False
